,Vocab,Word
0,den,1553
1,signede,9293
2,dag,1407
3,med,7058
4,fryd,3188
5,vi,12453
6,ser,9242
7,af,29
8,havet,4211
9,til,11386
10,os,8135
11,opkomme,8053
12,lyse,6699
13,på,8496
14,himlen,4430
15,mer,7150
16,og,7953
17,alle,139
18,lyst,6725
19,fromme,3164
20,det,1613
21,kendes,5456
22,som,10129
23,lysets,6710
24,børn,1329
25,at,313
26,natten,7608
27,hun,4674
28,er,2221
29,nu,7788
30,omme,7996
31,stund,10757
32,midnatstid,7188
33,vor,12695
34,herre,4386
35,han,4149
36,lod,6533
37,sig,9279
38,føde,3407
39,da,1404
40,klared,5555
41,op,8028
42,i,5021
43,østerlid,13276
44,dejligste,1538
45,morgenrøde,7341
46,lyset,6708
47,oprandt,8077
48,jordens,5255
49,bold,913
50,skal,9434
51,lysne,6718
52,udi,11985
53,gløde,3730
54,om,7984
55,levende,6382
56,blev,722
57,hvert,4734
58,træ,11681
59,skov,9572
60,var,12272
61,så,11070
62,blad,690
63,en,2126
64,tunge,11742
65,de,1522
66,kunne,5991
67,dog,1697
68,ej,2066
69,guds,3959
70,nådes,7851
71,lov,6560
72,værdelig,12858
73,røst,8956
74,udsjunge,12004
75,thi,11337
76,evig,2267
77,skinner,9528
78,livets,6491
79,lys,6695
80,for,2736
81,gamle,3490
82,unge,12116
83,takke,11241
84,gud,3943
85,fader,2294
86,god,3745
87,lærken,6847
88,dagen,1414
89,oprinde,8082
90,livet,6488
91,gav,3523
92,døde,1964
93,jesu,5229
94,navn,7635
95,vort,12704
96,liv,6483
97,forsøde,2940
98,sagtelig,8985
99,skrid,9604
100,højtidsdag,4992
101,stråler,10709
102,krans,5832
103,tinde,11445
104,hver,4726
105,time,11434
106,herrens,4388
107,velbehag,12354
108,bække,1233
109,eng,2163
110,henrinde,4336
111,frydelig,3194
112,sidst,9273
113,sno,10036
114,under,12072
115,grønne,3935
116,linde,6468
117,guld,3965
118,årle,13087
119,morgenstund,7352
120,når,7865
121,opstår,8100
122,kysser,6069
123,mund,7403
124,liflige,6411
125,aftenrøde,67
126,tindre,11446
127,end,2130
128,må,7456
129,matte,7049
130,blik,739
131,blegnede,714
132,kinder,5491
133,rejse,8636
134,fædreland,3346
135,dér,1953
136,ligger,6429
137,dvale,1875
138,stander,10407
139,borg,947
140,prud,8435
141,grand,3789
142,gammen,3496
143,gyldne,4016
